[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' t[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] buffer full.
---RAW BEGIN---
idx,t_us,level,dt_us
5,425563,0,3833
6,426239,1,676
7,430072,0,3833
8,430749,1,677
9,434581,0,3832
10,435258,1,677
13,443600,0,3833
14,444277,1,677
15,448112,0,3835
17,452619,0,3833
53296,1,677
19,457128,0,3832
23,466147,0,3833
25,470656,0,3832
27,475166,0,3833
30,480352,1,677
31,484185,0,3833
32,484861,1,676
833
34,489371,1,677
36,493880,1,677
57,542918,0,3944
58,543483,1,565
59,547427,0,3944
60,547993,1,566
61,551937,0,3944
62,552502,1,565
63,556446,0,3944
71,574484,0,3944
112,665237,1,566
318,1129703,1,565
319,1133647,0,3944
321,1138157,0,3944
322,1138722,1,565
323,1142666,0,3944
324,1143232,1,566
325,1147175,0,3943
326,1147741,1,566
327,1151685,0,3944
378,1264985,1,566
379,1268929,0,3944
477,1489889,0,3944
479,1494398,0,3944
480,1494964,1,566
481,1498907,0,3943
484,1503982,1,565
491,1521454,0,3944
492,1522495,1530473,0,3944
496,1531039,1,566
497,1534983,0,3944
500,1540057,1,565
501,1544001,0,3944
503,1548511,0,3944
505,1553020,0,3944
507,1557529,0,3943
510,1562604,1,565
511,1566548,0,3944
513,1571058,0,3944
515,1575567,0,3944
516,1576132,1,565
0,1585151,1,565
521,1589095,0,3944
522,1589661,1,566
523,1593605,0,3944
525,1598114,0,3944
526,1598679,1,565
664,1909827,1,565
730,2058637,1,566
731,2062581,0,3944
732,2063146,1,565
733,2067090,0,3944
734,2067655,1,565
735,2071599,0,3944
736,2072165,1,566
740,2081184,1,566
742,2085693,1,565
744,2090202,1,565
745,2094146,0,3944
746,2094712,1,566
747,2098656,0,3944
749,2103165,0,3944
751,2107674,0,3944
761,2130221,0,3944
762,2130787,1,566
793,2202372,0,3944
811,2242956,0,3944
812,2243521,1,565
813,2247465,0,3944
825,2274522,0,3944
859,2351181,0,3944
860,2351747,1,566
66,2365275,1,566
867,2369219,0,3944
868,2369784,1,565
4
880,2396841,1,566
891,2423332,0,3944
892,2423897,1,565
893,2427841,0,896,2432916,1,566
900,2441934,1,565
901,2445878,0,3944
970,2599763,1,565
990,2644857,1,565
992,2649366,1,565
1023,2720951,0,3944
1024,2721517,1,566
1025,2725460,0,3943
1043,27660451049,2779573,0,3944
1062,2807195,1,566
1063,2811139,0,3944
1064,2811704,1,565
1066,2816214,1,566
1068,2820723,1,565
44
1071,2829176,0,3944
1073,2833686,0,3944
1074,2834251,1,565
1080,2847779,1,565
1082,2852289,1,566
1084,2856798,1,565
1087,2865252,0,3944
1089,2869761,0,3944
1091,2874270,0,3944
1093,2878780,0,3944
1094,2879345,1,565
101097,2887798,0,3943
1099,2892308,0,3944
1101,2896817,0,3944
1102,2897383,1,566
1103,2901327,0,3944
