[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
0,0,F,1,0
1,2,C,0,2
2,318567,C,0,318565
3,320438,C,1,1871
4,320642,C,1,204
5,322353,C,0,1711
6,323072,C,1,719
7,323288,C,1,216
8,323489,C,1,201
9,323689,C,0,200
10,323889,C,0,200
11,324096,C,0,207
12,324343,C,0,247
13,324989,F,1,646
14,325189,F,0,200
15,325390,F,1,201
16,325592,F,0,202
17,325805,F,1,213
18,326010,F,1,205
19,326215,F,1,205
20,326417,F,1,202
21,326624,F,1,207
22,326829,F,1,205
23,327609,F,1,780
24,327811,F,0,202
25,328011,F,1,200
26,328218,F,1,207
27,328420,F,1,202
28,328625,F,1,205
29,328828,F,1,203
30,329042,F,1,214
31,330489,C,0,1447
32,330886,C,0,397
33,332137,C,0,1251
34,333549,C,0,1412
35,333754,C,0,205
36,334123,C,0,369
37,334344,C,0,221
38,334576,C,0,232
39,334778,C,0,202
40,334978,C,0,200
41,335178,C,0,200
42,335380,C,1,202
43,335845,C,1,465
44,336582,C,0,737
45,336952,C,1,370
46,337154,C,1,202
47,337359,C,1,205
48,339080,C,1,1721
49,339360,C,1,280
50,339569,C,0,209
51,339772,C,1,203
52,339973,C,1,201
53,340173,C,1,200
54,340380,C,0,207
55,341142,C,0,762
56,341667,F,1,525
57,341867,F,0,200
58,342067,F,0,200
59,342268,F,1,201
60,342471,F,1,203
61,342604,C,0,133
62,342674,F,0,70
63,343096,C,0,422
64,343298,C,0,202
65,343506,C,0,208
66,343877,C,0,371
67,344079,C,0,202
68,344407,C,0,328
69,344858,C,0,451
70,345759,C,0,901
71,345964,C,0,205
72,346164,C,0,200
73,346364,C,0,200
74,346900,F,0,536
75,347101,F,0,201
76,347301,F,0,200
77,347507,F,0,206
78,347708,F,0,201
79,347910,F,0,202
80,348551,C,1,641
81,348766,C,1,215
82,348967,C,0,201
83,349174,C,1,207
84,349379,C,1,205
85,350090,C,0,711
86,350177,F,0,87
87,350379,F,0,202
88,350593,F,0,214
89,350793,F,0,200
90,350994,F,0,201
91,351194,F,0,200
92,351401,F,0,207
93,351601,F,0,200
94,351801,F,1,200
95,352001,F,1,200
96,352208,F,1,207
97,352409,F,1,201
98,352610,F,1,201
99,352812,F,1,202
100,353013,F,1,201
101,353216,F,1,203
102,353416,F,0,200
103,353616,F,0,200
104,353831,F,0,215
105,353941,C,1,110
106,354732,F,1,791
107,354939,F,1,207
108,355141,F,1,202
109,355342,F,0,201
110,355543,F,0,201
111,355757,F,0,214
112,355962,F,0,205
113,356163,F,0,201
114,356364,F,0,201
115,356579,F,0,215
116,356801,F,0,222
117,357001,F,0,200
118,358269,C,1,1268
119,359166,C,0,897
120,359366,C,0,200
121,359566,C,0,200
122,359772,C,0,206
123,359979,C,0,207
124,360197,C,0,218
125,360594,C,0,397
126,360809,C,0,215
127,361085,C,0,276
